City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Bathsheba,BB,13.2167,-59.5167,79.41,94,75,5.75,moderate rain
246,Ust-Nera,RU,64.5667,143.2,32.65,75,81,2.35,broken clouds
247,Kottagudem,IN,17.55,80.6333,94.82,36,43,7.49,scattered clouds
248,Ambilobe,MG,-13.2,49.05,78.13,84,95,2.28,overcast clouds
249,Shingu,JP,33.7333,135.9833,64.65,53,6,6.11,clear sky
250,Westport,US,41.1415,-73.3579,51.78,86,100,6.91,overcast clouds
251,Mecca,SA,21.4267,39.8261,86.49,29,11,2.86,few clouds
252,Port Keats,AU,-14.25,129.55,93.4,45,78,5.53,broken clouds
253,Andenes,NO,69.3143,16.1194,36.93,80,0,2.3,light rain
254,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,77,20,21.9,few clouds
255,Atasu,KZ,48.6814,71.6433,68.45,24,13,11.12,few clouds
256,Kaeo,NZ,-35.1,173.7833,62.55,67,98,6.85,overcast clouds
257,Voh,NC,-20.9667,164.7,78.94,72,59,7.61,broken clouds
258,Kismayo,SO,-0.3582,42.5454,81.25,80,100,8.95,light rain
259,Noshiro,JP,40.2039,140.0242,56.23,41,0,11.79,clear sky
260,Koungou,YT,-12.7336,45.2042,82.11,83,75,12.66,light rain
261,Grand Gaube,MU,-20.0064,57.6608,81.37,72,47,5.01,scattered clouds
262,Durban,ZA,-29.8579,31.0292,70.02,95,2,3.0,clear sky
263,Sepatan,ID,-6.1189,106.575,96.17,66,20,12.66,few clouds
264,Berlevag,NO,70.8578,29.0864,39.2,65,100,10.36,overcast clouds
265,Bowen,AU,-20.0167,148.2333,79.03,65,54,17.78,broken clouds
266,Batemans Bay,AU,-35.7167,150.1833,76.82,41,53,10.92,broken clouds
267,West Wendover,US,40.7391,-114.0733,58.21,36,0,0.0,clear sky
268,Sistranda,NO,63.7256,8.834,37.36,71,100,19.98,light rain
269,Escanaba,US,45.7453,-87.0646,37.36,75,0,9.22,clear sky
270,Kawambwa,ZM,-9.7915,29.0791,58.15,86,92,6.13,overcast clouds
271,Saint Anthony,US,45.0205,-93.218,54.9,46,40,16.11,scattered clouds
272,Gornopravdinsk,RU,60.05,69.9,56.93,70,100,8.46,overcast clouds
273,Lebu,CL,-37.6167,-73.65,55.92,89,100,4.61,light rain
274,Selma,US,36.5708,-119.6121,78.85,46,0,8.05,clear sky
275,Portland,US,45.5234,-122.6762,69.78,49,75,10.36,broken clouds
276,Pimentel,PE,-6.8367,-79.9342,77.29,78,0,6.91,clear sky
277,Ordzhonikidze,KZ,52.4411,61.7408,68.45,25,100,18.3,overcast clouds
278,Kruisfontein,ZA,-34.0033,24.7314,57.88,89,100,6.11,overcast clouds
279,Cayenne,GF,4.9333,-52.3333,73.44,100,75,1.14,broken clouds
280,Pimenta Bueno,BR,-11.6725,-61.1936,71.46,96,85,1.16,overcast clouds
281,Grandola,PT,38.1772,-8.5668,62.35,54,100,3.96,overcast clouds
282,Bonnyville,CA,54.2668,-110.735,46.2,68,99,7.45,overcast clouds
